province_territory,climate_zone,metro,sector,vintage,building_type,building_envelope_bin,year,equipment_config_id,equipment_stock_share_pct
NB,all,all,res,ex,mob,all,2021,config_hvac_res_002,0.00420
NB,all,all,res,ex,mob,all,2021,config_hvac_res_003,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_004,0.09034
NB,all,all,res,ex,mob,all,2021,config_hvac_res_005,0.00157
NB,all,all,res,ex,mob,all,2021,config_hvac_res_006,0.01298
NB,all,all,res,ex,mob,all,2021,config_hvac_res_007,0.14655
NB,all,all,res,ex,mob,all,2021,config_hvac_res_008,0.02780
NB,all,all,res,ex,mob,all,2021,config_hvac_res_009,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_010,0.59805
NB,all,all,res,ex,mob,all,2021,config_hvac_res_011,0.01043
NB,all,all,res,ex,mob,all,2021,config_hvac_res_012,0.08594
NB,all,all,res,ex,mob,all,2021,config_hvac_res_013,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_014,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_015,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_016,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_017,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_018,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_019,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_020,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_021,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_022,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_023,0.00000
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_001,0.15084
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_002,0.00163
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_003,0.01141
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_004,0.53650
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_005,0.00245
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_006,0.10029
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_007,0.03416
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_008,0.00037
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_009,0.00259
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_010,0.12150
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_011,0.00055
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_012,0.02271
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_013,0.00000
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_014,0.00306
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_015,0.00000
NL,all,all,res,ex,sfd,all,2021,config_hvac_res_016,0.00881
